date,type,fuel,registrations
2022-03-01,all_types,all_fuels,138691
2022-04-01,all_types,all_fuels,137392
2022-05-01,all_types,all_fuels,120308
2022-06-01,all_types,all_fuels,146022
2022-07-01,all_types,all_fuels,120539
2022-08-01,all_types,all_fuels,143386
2022-09-01,all_types,all_fuels,138783
2022-10-01,all_types,all_fuels,126248
2022-11-01,all_types,all_fuels,127984
2022-12-01,all_types,all_fuels,138112
2023-01-01,all_types,all_fuels,111343
2023-02-01,all_types,all_fuels,126976
2023-03-01,all_types,all_fuels,150692
2023-04-01,all_types,all_fuels,103569
2023-05-01,all_types,all_fuels,131132
2023-06-01,all_types,all_fuels,124759
2023-07-01,all_types,all_fuels,128433
2023-08-01,all_types,all_fuels,134837
2023-09-01,all_types,all_fuels,122001
2023-10-01,all_types,all_fuels,137372
2023-11-01,all_types,all_fuels,131362
2023-12-01,all_types,all_fuels,130828
2024-01-01,all_types,all_fuels,129676
2024-02-01,all_types,all_fuels,119048
2024-03-01,all_types,all_fuels,136057
2024-04-01,all_types,all_fuels,115213
2024-05-01,all_types,all_fuels,136270
2024-06-01,all_types,all_fuels,117906
2024-07-01,all_types,all_fuels,144275
2024-08-01,all_types,all_fuels,140710
2024-09-01,all_types,all_fuels,119552
2024-10-01,all_types,all_fuels,138076
2024-11-01,all_types,all_fuels,128956
2024-12-01,all_types,all_fuels,144931
2025-01-01,all_types,all_fuels,109815
2025-02-01,all_types,all_fuels,127062
2025-03-01,all_types,all_fuels,143861
2025-04-01,all_types,all_fuels,123964
2025-05-01,all_types,all_fuels,141124
2025-06-01,all_types,all_fuels,119343
2025-07-01,all_types,all_fuels,149176
2025-08-01,all_types,all_fuels,147780
2025-09-01,all_types,all_fuels,120066
2025-10-01,all_types,all_fuels,146828
2025-11-01,all_types,all_fuels,138443
2025-12-01,all_types,all_fuels,162090
2026-01-01,all_types,all_fuels,141075
2026-02-01,all_types,all_fuels,116154
2026-03-01,all_types,all_fuels,131863
2026-04-01,all_types,all_fuels,156866
2000-01-01,all_types,diesel,1247
2000-02-01,all_types,diesel,1119
2000-03-01,all_types,diesel,1741
2000-04-01,all_types,diesel,1630
2000-05-01,all_types,diesel,1749
2000-06-01,all_types,diesel,1576
2000-07-01,all_types,diesel,1793
2000-08-01,all_types,diesel,1817
2000-09-01,all_types,diesel,1914
2000-10-01,all_types,diesel,1526
2000-11-01,all_types,diesel,1659
2000-12-01,all_types,diesel,1512
2001-01-01,all_types,diesel,1671
2001-02-01,all_types,diesel,1571
2001-03-01,all_types,diesel,1865
2001-04-01,all_types,diesel,1792
2001-05-01,all_types,diesel,1828
2001-06-01,all_types,diesel,1661
2001-07-01,all_types,diesel,1786
2001-08-01,all_types,diesel,2013
2001-09-01,all_types,diesel,1741
2001-10-01,all_types,diesel,1691
2001-11-01,all_types,diesel,1672
2001-12-01,all_types,diesel,1299
2002-01-01,all_types,diesel,2046
2002-02-01,all_types,diesel,1095
2002-03-01,all_types,diesel,1678
2002-04-01,all_types,diesel,1838
2002-05-01,all_types,diesel,1723
2002-06-01,all_types,diesel,1590
2002-07-01,all_types,diesel,2131
2002-08-01,all_types,diesel,1857
2002-09-01,all_types,diesel,1843
2002-10-01,all_types,diesel,2041
2002-11-01,all_types,diesel,1905
2002-12-01,all_types,diesel,1439
2003-01-01,all_types,diesel,1875
2003-02-01,all_types,diesel,1113
2003-03-01,all_types,diesel,1733
